STRUCTURE_NAME,REF_AREA,Reference area,Measure,Age,Sex,Unit of measure,Measurement method,TIME_PERIOD,OBS_VALUE
Body weight,POL,Poland,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2014,16.7
Body weight,POL,Poland,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2017,16.9
Body weight,POL,Poland,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2019,18.5
Body weight,KOR,Korea,Share of population who are obese,Total,Total,Percentage of population,Measured,2010,4.1
Body weight,KOR,Korea,Share of population who are obese,Total,Total,Percentage of population,Measured,2011,4.3
Body weight,KOR,Korea,Share of population who are obese,Total,Total,Percentage of population,Measured,2012,4.6
Body weight,KOR,Korea,Share of population who are obese,Total,Total,Percentage of population,Measured,2013,4.7
Body weight,KOR,Korea,Share of population who are obese,Total,Total,Percentage of population,Measured,2014,4.3
Body weight,KOR,Korea,Share of population who are obese,Total,Total,Percentage of population,Measured,2015,5.3
Body weight,KOR,Korea,Share of population who are obese,Total,Total,Percentage of population,Measured,2016,5.5
Body weight,KOR,Korea,Share of population who are obese,Total,Total,Percentage of population,Measured,2017,5.4
Body weight,KOR,Korea,Share of population who are obese,Total,Total,Percentage of population,Measured,2018,5.9
Body weight,KOR,Korea,Share of population who are obese,Total,Total,Percentage of population,Measured,2019,5.9
Body weight,KOR,Korea,Share of population who are obese,Total,Total,Percentage of population,Measured,2020,7.4
Body weight,KOR,Korea,Share of population who are obese,Total,Total,Percentage of population,Measured,2021,7
Body weight,NZL,New Zealand,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2012,64.4
Body weight,NZL,New Zealand,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2013,64.9
Body weight,NZL,New Zealand,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2014,65.2
Body weight,NZL,New Zealand,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2015,65.8
Body weight,NZL,New Zealand,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2016,67
Body weight,NZL,New Zealand,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2017,66.9
Body weight,NZL,New Zealand,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2018,67.1
Body weight,NZL,New Zealand,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2019,65.5
Body weight,NZL,New Zealand,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2020,66.4
Body weight,NZL,New Zealand,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2021,68.1
Body weight,LTU,Lithuania,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2014,36.7
Body weight,LTU,Lithuania,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2017,38.8
Body weight,LTU,Lithuania,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2019,36.7
Body weight,LTU,Lithuania,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2022,38.2
Body weight,PRT,Portugal,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2014,16.4
Body weight,PRT,Portugal,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2017,15.7
Body weight,PRT,Portugal,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2019,16.9
Body weight,PRT,Portugal,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2022,15.9
Body weight,LVA,Latvia,Share of population who are obese,Total,Total,Percentage of population,Measured,2014,20.6
Body weight,LVA,Latvia,Share of population who are obese,Total,Total,Percentage of population,Measured,2016,23.2
Body weight,LVA,Latvia,Share of population who are obese,Total,Total,Percentage of population,Measured,2018,24.1
Body weight,LVA,Latvia,Share of population who are obese,Total,Total,Percentage of population,Measured,2020,23.9
Body weight,LVA,Latvia,Share of population who are obese,Total,Total,Percentage of population,Measured,2022,23.3
Body weight,ROU,Romania,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2014,9.1
Body weight,ROU,Romania,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2019,10.5
Body weight,BGR,Bulgaria,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2014,39.2
Body weight,BGR,Bulgaria,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2019,41.2
Body weight,UKR,Ukraine,Share of population who are obese,Total,Total,Percentage of population,Measured,2010,23.3
Body weight,UKR,Ukraine,Share of population who are obese,Total,Total,Percentage of population,Measured,2011,23.7
Body weight,UKR,Ukraine,Share of population who are obese,Total,Total,Percentage of population,Measured,2012,24.2
Body weight,UKR,Ukraine,Share of population who are obese,Total,Total,Percentage of population,Measured,2013,24.6
Body weight,UKR,Ukraine,Share of population who are obese,Total,Total,Percentage of population,Measured,2014,25.1
Body weight,UKR,Ukraine,Share of population who are obese,Total,Total,Percentage of population,Measured,2015,25.6
Body weight,UKR,Ukraine,Share of population who are obese,Total,Total,Percentage of population,Measured,2016,26.1
Body weight,BGR,Bulgaria,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2014,54
Body weight,BGR,Bulgaria,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2019,54.8
Body weight,BGR,Bulgaria,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2014,14.8
Body weight,BGR,Bulgaria,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2019,13.6
